order_id,customer_id,product_id,order_date,quantity,unit_price,line_revenue,status,is_completed
O00001,C1174,P028,2024-06-30,5,3036.66,15183.3,completed,True
O00002,C0920,P009,2024-06-30,1,1156.27,1156.27,pending,False
O00003,C1401,P009,2024-02-08,1,1269.11,1269.11,pending,False
O00004,C1863,P028,2024-06-30,5,3067.15,15335.75,completed,True
O00005,C1344,P011,2024-06-25,1,3663.28,3663.28,completed,True
O00006,C0378,P010,2023-09-28,2,2252.68,4505.36,returned,False
O00007,C1969,P020,2023-04-23,1,3828.46,3828.46,completed,True
O00008,C0312,P007,2023-08-03,1,355.09,355.09,pending,False
O00009,C1264,P039,2023-07-04,2,3335.65,6671.3,completed,True
O00010,C0473,P002,2024-06-30,1,1134.59,1134.59,returned,False
O00011,C0275,P039,2023-06-21,1,3572.44,3572.44,completed,True
O00012,C1746,P032,2024-06-30,1,2480.34,2480.34,completed,True
O00013,C0067,P001,2024-06-30,4,1924.18,7696.72,completed,True
O00014,C1521,P013,2024-06-30,3,3094.29,9282.87,returned,False
O00015,C1776,P032,2024-06-14,2,2779.39,5558.78,completed,True
O00016,C0876,P003,2023-05-11,2,3486.91,6973.82,completed,True
O00017,C0808,P037,2023-11-04,2,3038.52,6077.04,completed,True
O00018,C1067,P029,2023-11-20,1,1207.33,1207.33,completed,True
O00019,C1063,P026,2024-06-30,5,1255.56,6277.8,returned,False
O00020,C1058,P004,2024-05-27,1,2517.07,2517.07,completed,True
O00021,C1585,P030,2024-05-05,1,853.26,853.26,completed,True
O00022,C1414,P010,2024-06-30,1,2210.89,2210.89,completed,True
O00023,C1480,P008,2024-06-30,1,2778.51,2778.51,pending,False
O00024,C0278,P027,2023-08-12,1,1575.32,1575.32,returned,False
O00025,C1209,P013,2024-06-30,4,3107.26,12429.04,completed,True
O00026,C1417,P011,2024-03-28,2,3407.96,6815.92,completed,True
O00027,C1447,P024,2024-06-30,1,653.11,653.11,pending,False
O00028,C1254,P025,2023-04-11,2,2200.15,4400.3,completed,True
O00029,C1869,P037,2024-06-30,4,3204.11,12816.44,completed,True
O00030,C1780,P012,2024-06-30,3,1127.25,3381.75,completed,True
O00031,C0634,P019,2023-06-17,2,3328.29,6656.58,completed,True
O00032,C1967,P001,2023-03-24,2,1721.47,3442.94,returned,False
O00033,C1020,P035,2023-11-12,3,1282.63,3847.89,returned,False
O00034,C0488,P038,2024-06-30,2,2475.05,4950.1,returned,False
O00035,C0163,P039,2023-11-30,1,3703.99,3703.99,completed,True
O00036,C1270,P036,2024-06-30,3,1389.58,4168.74,completed,True
O00037,C0304,P023,2022-07-16,1,580.07,580.07,pending,False
O00038,C1717,P020,2023-11-24,1,3337.72,3337.72,completed,True
O00039,C0854,P011,2024-06-30,2,3694.92,7389.84,pending,False
O00040,C1173,P012,2024-06-30,5,1264.86,6324.3,completed,True
O00041,C1908,P006,2022-08-09,3,1123.85,3371.55,returned,False
O00042,C1680,P028,2022-11-26,3,2646.57,7939.71,returned,False
O00043,C0276,P018,2024-06-25,1,1746.67,1746.67,completed,True
O00044,C1426,P040,2022-12-23,1,1105.23,1105.23,pending,False
O00045,C0180,P039,2023-09-27,4,3762.88,15051.52,completed,True
O00046,C0875,P021,2024-06-30,1,2012.72,2012.72,pending,False
O00047,C0725,P040,2023-03-04,2,1096.07,2192.14,returned,False
O00048,C1009,P040,2022-10-28,1,1055.46,1055.46,completed,True
O00049,C0004,P002,2022-09-21,1,1153.98,1153.98,completed,True
O00050,C1638,P027,2024-06-30,1,1660.82,1660.82,pending,False
O00051,C1651,P014,2024-06-30,1,495.89,495.89,completed,True
O00052,C0522,P020,2022-03-30,1,3605.86,3605.86,completed,True
O00053,C0234,P022,2024-03-16,1,1055.99,1055.99,pending,False
O00054,C1967,P012,2022-09-27,1,1281.52,1281.52,returned,False
O00055,C1877,P003,2024-06-30,2,3302.74,6605.48,returned,False
O00056,C1827,P022,2024-06-30,1,1070.82,1070.82,completed,True
O00057,C1711,P020,2024-06-30,2,3680.22,7360.44,pending,False
O00058,C1098,P014,2023-09-13,2,506.92,1013.84,completed,True
O00059,C0136,P018,2024-04-24,3,1725.23,5175.69,returned,False
O00060,C1284,P011,2024-06-30,2,3564.54,7129.08,pending,False
O00061,C0240,P021,2022-11-25,2,1914.81,3829.62,completed,True
O00062,C1018,P024,2024-06-30,1,678.05,678.05,completed,True
O00063,C1076,P012,2024-06-30,1,1271.88,1271.88,completed,True
O00064,C1871,P029,2023-04-27,2,1192.8,2385.6,pending,False
O00065,C0316,P022,2024-06-30,4,1057.32,4229.28,pending,False
O00066,C0636,P010,2024-06-30,3,2019.02,6057.06,pending,False
O00067,C1386,P014,2022-07-02,2,517.71,1035.42,pending,False
O00068,C0238,P020,2023-12-21,4,3685.36,14741.44,pending,False
O00069,C1786,P022,2023-12-19,1,943.92,943.92,pending,False
