order_id,customer_id,product_id,order_date,quantity,unit_price,status
O00001,C1174,P028,2024-06-30,5,3036.66,completed
O00002,C0920,P009,2024-06-30,1,1156.27,pending
O00003,C1401,P009,2024-02-08,1,1269.11,pending
O00004,C1863,P028,2024-06-30,5,3067.15,completed
O00005,C1344,P011,2024-06-25,1,3663.28,completed
O00006,C0378,P010,2023-09-28,2,2252.68,returned
O00007,C1969,P020,2023-04-23,1,3828.46,completed
O00008,C0312,P007,2023-08-03,1,355.09,pending
O00009,C1264,P039,2023-07-04,2,3335.65,completed
O00010,C0473,P002,2024-06-30,1,1134.59,returned
O00011,C0275,P039,2023-06-21,1,3572.44,completed
O00012,C1746,P032,2024-06-30,1,2480.34,completed
O00013,C0067,P001,2024-06-30,4,1924.18,completed
O00014,C1521,P013,2024-06-30,3,3094.29,returned
O00015,C1776,P032,2024-06-14,2,2779.39,completed
O00016,C0876,P003,2023-05-11,2,3486.91,completed
O00017,C0808,P037,2023-11-04,2,3038.52,completed
O00018,C1067,P029,2023-11-20,1,1207.33,completed
O00019,C1063,P026,2024-06-30,5,1255.56,returned
O00020,C1058,P004,2024-05-27,1,2517.07,completed
O00021,C1585,P030,2024-05-05,1,853.26,completed
O00022,C1414,P010,2024-06-30,1,2210.89,completed
O00023,C1480,P008,2024-06-30,1,2778.51,pending
O00024,C0278,P027,2023-08-12,1,1575.32,returned
O00025,C1209,P013,2024-06-30,4,3107.26,completed
O00026,C1417,P011,2024-03-28,2,3407.96,completed
O00027,C1447,P024,2024-06-30,1,653.11,pending
O00028,C1254,P025,2023-04-11,2,2200.15,completed
O00029,C1869,P037,2024-06-30,4,3204.11,completed
O00030,C1780,P012,2024-06-30,3,1127.25,completed
O00031,C0634,P019,2023-06-17,2,3328.29,completed
O00032,C1967,P001,2023-03-24,2,1721.47,returned
O00033,C1020,P035,2023-11-12,3,1282.63,returned
O00034,C0488,P038,2024-06-30,2,2475.05,returned
O00035,C0163,P039,2023-11-30,1,3703.99,completed
O00036,C1270,P036,2024-06-30,3,1389.58,completed
O00037,C0304,P023,2022-07-16,1,580.07,pending
O00038,C1717,P020,2023-11-24,1,3337.72,completed
O00039,C0854,P011,2024-06-30,2,3694.92,pending
O00040,C1173,P012,2024-06-30,5,1264.86,completed
O00041,C1908,P006,2022-08-09,3,1123.85,returned
O00042,C1680,P028,2022-11-26,3,2646.57,returned
O00043,C0276,P018,2024-06-25,1,1746.67,completed
O00044,C1426,P040,2022-12-23,1,1105.23,pending
O00045,C0180,P039,2023-09-27,4,3762.88,completed
O00046,C0875,P021,2024-06-30,1,2012.72,pending
O00047,C0725,P040,2023-03-04,2,1096.07,returned
O00048,C1009,P040,2022-10-28,1,1055.46,completed
O00049,C0004,P002,2022-09-21,1,1153.98,completed
O00050,C1638,P027,2024-06-30,1,1660.82,pending
O00051,C1651,P014,2024-06-30,1,495.89,completed
O00052,C0522,P020,2022-03-30,1,3605.86,completed
O00053,C0234,P022,2024-03-16,1,1055.99,pending
O00054,C1967,P012,2022-09-27,1,1281.52,returned
O00055,C1877,P003,2024-06-30,2,3302.74,returned
O00056,C1827,P022,2024-06-30,1,1070.82,completed
O00057,C1711,P020,2024-06-30,2,3680.22,pending
O00058,C1098,P014,2023-09-13,2,506.92,completed
O00059,C0136,P018,2024-04-24,3,1725.23,returned
O00060,C1284,P011,2024-06-30,2,3564.54,pending
O00061,C0240,P021,2022-11-25,2,1914.81,completed
O00062,C1018,P024,2024-06-30,1,678.05,completed
O00063,C1076,P012,2024-06-30,1,1271.88,completed
O00064,C1871,P029,2023-04-27,2,1192.8,pending
O00065,C0316,P022,2024-06-30,4,1057.32,pending
O00066,C0636,P010,2024-06-30,3,2019.02,pending
O00067,C1386,P014,2022-07-02,2,517.71,pending
O00068,C0238,P020,2023-12-21,4,3685.36,pending
O00069,C1786,P022,2023-12-19,1,943.92,pending
O00070,C1570,P020,2024-06-30,1,3726.8,completed
O00071,C0658,P013,2022-10-08,1,3345.89,returned
O00072,C1375,P018,2022-10-11,1,1706.41,completed
O00073,C1963,P036,2024-06-30,2,1389.33,completed
O00074,C1126,P018,2024-06-30,1,1830.14,completed
O00075,C1176,P011,2024-04-18,1,3696.2,completed
O00076,C1108,P004,2023-07-30,1,2529.92,completed
O00077,C0217,P004,2024-01-12,1,2497.43,pending
O00078,C1826,P029,2024-06-30,2,1103.04,completed
O00079,C1461,P035,2024-06-30,1,1346.98,returned
O00080,C1163,P006,2023-03-18,3,1235.84,returned
O00081,C0200,P020,2024-06-30,2,3698.8,returned
O00082,C0964,P015,2024-01-03,1,3813.49,completed
O00083,C1870,P026,2024-04-02,1,1448.76,completed
O00084,C1616,P030,2024-06-30,1,820.48,completed
O00085,C0720,P030,2024-04-28,3,851.52,completed
O00086,C1238,P009,2024-06-30,2,1209.47,completed
O00087,C0668,P005,2024-06-30,3,1286.32,returned
O00088,C1210,P016,2023-07-12,2,3731.13,returned
O00089,C0787,P022,2022-04-25,1,1050.98,returned
O00090,C1607,P037,2024-06-30,3,3047.99,completed
O00091,C0355,P005,2024-06-30,2,1323.49,returned
O00092,C0235,P039,2024-06-30,1,3519.0,returned
O00093,C0361,P026,2023-09-11,1,1270.85,pending
O00094,C1580,P021,2024-06-30,1,2040.14,completed
O00095,C0446,P038,2023-05-18,4,2548.8,completed
O00096,C1551,P010,2024-06-30,1,2086.7,pending
O00097,C1184,P013,2024-01-15,1,3532.18,completed
O00098,C1168,P020,2024-01-30,4,3830.15,completed
O00099,C0183,P001,2024-06-30,2,1796.29,completed
O00100,C1746,P004,2024-04-05,1,2562.13,completed
O00101,C0002,P036,2024-06-30,3,1425.45,completed
O00102,C1773,P016,2023-11-08,1,3756.47,completed
O00103,C1458,P026,2023-05-29,1,1366.88,completed
O00104,C0973,P013,2022-11-08,2,3513.78,completed
O00105,C1721,P010,2024-03-25,1,2290.26,completed
O00106,C0276,P005,2024-03-04,2,1205.66,returned
O00107,C1348,P009,2024-06-30,1,1256.58,returned
O00108,C1762,P039,2024-06-30,4,3557.55,returned
O00109,C1044,P036,2024-06-30,3,1431.47,completed
O00110,C0381,P039,2024-06-30,1,3486.8,completed
O00111,C1459,P018,2023-06-17,1,1784.7,completed
O00112,C0069,P037,2022-12-29,1,2961.65,pending
O00113,C0987,P006,2024-06-30,1,1200.49,completed
O00114,C0953,P006,2023-09-10,2,1177.75,completed
O00115,C0968,P005,2024-06-30,2,1287.66,pending
O00116,C0640,P004,2024-06-30,4,2556.42,completed
O00117,C0961,P033,2024-04-28,4,3996.63,completed
O00118,C0863,P019,2023-08-22,1,3280.98,pending
O00119,C1535,P037,2024-04-09,1,3089.59,pending
O00120,C0347,P004,2024-06-15,2,2456.14,pending
O00121,C0056,P032,2024-06-30,1,2625.75,completed
O00122,C0517,P040,2024-03-18,1,1155.99,completed
O00123,C1519,P039,2024-06-30,1,3539.75,completed
O00124,C1350,P024,2024-06-30,3,607.4,completed
O00125,C0994,P034,2024-03-07,3,797.51,completed
O00126,C1982,P039,2024-04-04,4,3292.23,returned
O00127,C1542,P025,2024-06-30,1,2352.83,completed
O00128,C0432,P023,2023-12-19,1,527.63,completed
O00129,C0108,P030,2022-07-31,1,854.26,pending
O00130,C0479,P025,2024-03-05,1,2239.16,returned
O00131,C0025,P029,2024-06-30,1,1103.64,pending
O00132,C1399,P007,2022-03-05,4,393.21,returned
O00133,C1251,P018,2023-12-20,1,1704.53,completed
O00134,C0523,P038,2024-06-09,1,2604.21,completed
O00135,C1504,P038,2024-06-30,3,2501.82,completed
O00136,C0642,P001,2024-03-02,2,1889.72,completed
O00137,C0843,P034,2023-04-15,1,811.19,completed
O00138,C1486,P017,2024-06-30,1,2747.36,completed
O00139,C0117,P014,2024-05-30,5,532.81,completed
O00140,C0177,P009,2024-06-30,1,1280.81,pending
O00141,C1645,P008,2024-02-16,2,2630.91,returned
O00142,C1353,P030,2024-06-30,4,850.68,returned
O00143,C1418,P021,2024-01-31,1,2079.02,completed
O00144,C1592,P025,2023-11-27,1,2566.95,completed
O00145,C1958,P012,2024-06-21,1,1214.08,completed
O00146,C1250,P012,2023-11-23,2,1138.51,pending
O00147,C1575,P014,2023-03-30,2,487.87,returned
O00148,C1466,P007,2023-08-29,1,357.85,completed
O00149,C1592,P002,2024-06-30,4,1038.31,completed
O00150,C1911,P025,2024-01-29,1,2452.95,returned
O00151,C1177,P033,2023-02-13,2,4122.81,returned
O00152,C0894,P005,2023-12-22,2,1176.47,returned
O00153,C0249,P035,2024-06-30,4,1231.71,completed
O00154,C0821,P006,2022-12-31,1,1223.39,completed
O00155,C0165,P019,2023-06-21,2,3362.28,completed
O00156,C1982,P013,2024-06-30,1,3269.15,completed
O00157,C1292,P023,2024-06-30,1,582.86,returned
O00158,C1506,P009,2023-02-04,1,1133.72,pending
O00159,C0489,P025,2024-06-30,1,2391.5,completed
O00160,C1024,P029,2024-06-30,5,1048.43,completed
O00161,C0115,P003,2023-01-10,1,3157.8,pending
O00162,C0939,P035,2024-06-30,1,1276.77,completed
O00163,C0076,P032,2023-02-21,2,2611.12,pending
O00164,C0094,P009,2024-06-30,1,1254.67,completed
O00165,C1681,P030,2023-06-18,2,930.69,completed
O00166,C1675,P008,2024-06-30,1,2873.49,completed
O00167,C0130,P028,2023-10-01,1,3002.56,returned
O00168,C0665,P037,2022-09-07,2,2938.59,completed
O00169,C1566,P038,2024-06-30,1,2317.12,completed
O00170,C0290,P011,2024-06-30,2,3660.97,returned
O00171,C0499,P003,2024-06-30,1,3469.03,pending
O00172,C0771,P002,2024-06-30,4,1026.14,completed
O00173,C0368,P038,2022-11-20,4,2459.87,returned
O00174,C1418,P014,2022-07-26,1,501.79,returned
O00175,C0844,P012,2023-12-24,2,1124.55,completed
O00176,C1469,P040,2024-06-30,5,1115.12,completed
O00177,C0713,P001,2024-01-21,2,1703.67,pending
O00178,C0196,P024,2023-10-23,3,681.75,pending
O00179,C0450,P014,2023-11-28,1,495.26,completed
O00180,C1404,P032,2024-06-30,1,2695.75,completed
O00181,C0111,P024,2024-06-30,1,625.17,completed
O00182,C1264,P003,2024-01-11,1,3072.27,pending
O00183,C0361,P002,2023-04-10,1,1032.45,completed
O00184,C1478,P038,2024-06-30,2,2461.02,completed
O00185,C0472,P021,2023-12-04,1,1903.72,returned
O00186,C1782,P025,2024-06-30,4,2211.56,pending
O00187,C0993,P028,2022-07-20,1,3045.04,returned
O00188,C0365,P024,2024-06-30,1,654.39,completed
O00189,C1998,P013,2023-11-11,1,3075.91,pending
O00190,C0123,P009,2024-06-30,1,1221.39,returned
O00191,C0351,P015,2024-06-30,4,3643.77,pending
O00192,C1855,P037,2023-10-30,5,3200.35,completed
O00193,C0844,P032,2024-06-30,3,2502.74,returned
O00194,C1715,P018,2024-06-30,1,1750.79,completed
O00195,C0508,P028,2023-05-14,2,3028.39,pending
O00196,C1938,P037,2022-07-11,4,2985.79,completed
O00197,C0083,P033,2023-09-12,1,3969.19,returned
O00198,C1659,P007,2024-06-30,1,368.46,pending
O00199,C1543,P027,2022-09-20,4,1605.16,completed
O00200,C0490,P006,2024-06-30,1,1188.81,completed
O00201,C1441,P037,2024-06-30,2,2792.76,returned
O00202,C0950,P026,2024-06-30,1,1438.71,returned
O00203,C1442,P001,2024-06-30,3,1668.42,completed
O00204,C1088,P019,2024-04-02,1,3415.89,pending
O00205,C1111,P014,2024-06-30,3,485.73,completed
O00206,C1507,P033,2022-08-10,4,4061.11,completed
O00207,C0228,P024,2024-06-30,1,584.82,completed
O00208,C0359,P036,2024-06-30,2,1473.12,completed
O00209,C0284,P016,2024-06-25,2,3791.82,pending
O00210,C1785,P014,2024-06-30,3,543.19,completed
O00211,C0723,P033,2023-11-10,2,3806.54,completed
O00212,C0764,P029,2024-02-09,1,1142.56,completed
O00213,C0963,P035,2024-05-31,2,1267.27,completed
O00214,C0926,P024,2024-06-30,3,677.5,completed
O00215,C0386,P006,2024-06-30,1,1231.76,completed
O00216,C1963,P007,2023-11-19,1,360.44,completed
O00217,C1017,P014,2022-10-03,2,531.9,completed
O00218,C0854,P035,2024-06-30,4,1255.22,returned
O00219,C0910,P002,2024-06-30,1,1022.97,completed
O00220,C1710,P022,2024-06-30,1,992.94,completed
O00221,C0996,P034,2024-06-30,3,811.1,completed
O00222,C1162,P020,2023-06-26,1,3437.66,returned
O00223,C0762,P004,2023-10-27,1,2453.1,completed
O00224,C1267,P035,2024-06-30,1,1357.28,completed
O00225,C0331,P008,2024-06-30,1,2659.04,completed
O00226,C0903,P024,2023-07-01,1,638.27,completed
O00227,C1364,P023,2023-06-09,1,544.0,completed
O00228,C1093,P008,2024-01-13,4,2698.12,returned
O00229,C1574,P030,2024-06-30,4,833.46,pending
O00230,C1999,P022,2024-06-30,2,985.14,completed
O00231,C1986,P010,2023-11-21,3,2239.76,returned
O00232,C0694,P008,2024-06-30,2,2918.38,completed
O00233,C1389,P008,2023-12-04,1,2696.82,completed
O00234,C0914,P006,2023-04-01,1,1177.38,completed
O00235,C1195,P015,2023-10-05,3,3738.76,completed
O00236,C0047,P035,2023-09-28,3,1296.75,completed
O00237,C1999,P026,2024-06-30,1,1316.85,pending
O00238,C1048,P024,2022-02-28,1,654.0,returned
O00239,C0758,P024,2023-10-13,1,615.98,completed
O00240,C0913,P006,2024-06-30,1,1229.86,returned
O00241,C1646,P019,2023-12-20,1,3679.55,returned
O00242,C1493,P009,2024-06-30,3,1247.76,completed
O00243,C0426,P031,2024-06-30,5,4224.81,completed
O00244,C0136,P025,2024-06-30,1,2340.99,completed
O00245,C0849,P036,2024-01-17,1,1474.81,completed
O00246,C0409,P025,2024-03-31,1,2372.24,completed
O00247,C1710,P020,2024-06-30,1,3715.99,completed
O00248,C0055,P010,2022-01-06,1,2319.43,returned
O00249,C0255,P019,2024-06-30,1,3543.69,completed
O00250,C0059,P018,2022-12-12,1,1906.63,pending
O00251,C1527,P038,2024-06-30,1,2467.9,completed
O00252,C1287,P031,2024-05-04,5,4424.71,completed
O00253,C1050,P002,2024-06-18,3,1040.8,completed
O00254,C0300,P030,2023-08-31,4,830.52,completed
O00255,C0109,P024,2024-06-30,1,674.09,completed
O00256,C0100,P019,2023-10-22,2,3799.42,pending
O00257,C0397,P012,2024-06-30,3,1235.18,completed
O00258,C1114,P021,2024-06-30,3,2048.14,completed
O00259,C0556,P024,2024-04-24,1,640.07,completed
O00260,C0027,P034,2022-11-07,1,855.37,returned
O00261,C0697,P007,2024-06-30,1,384.85,completed
O00262,C1629,P040,2024-06-30,2,1172.75,pending
O00263,C1460,P008,2023-08-25,1,2925.42,completed
O00264,C1677,P002,2024-03-16,1,1067.36,completed
O00265,C0285,P039,2024-02-15,2,3753.74,completed
O00266,C1454,P002,2023-06-25,2,1032.9,completed
O00267,C1755,P010,2024-06-30,2,2092.27,completed
O00268,C0267,P028,2024-06-30,2,2978.62,completed
O00269,C0039,P028,2024-06-30,1,2666.37,pending
O00270,C1215,P031,2023-03-20,1,4039.03,completed
O00271,C0618,P001,2024-06-30,3,1875.37,pending
O00272,C0421,P013,2024-06-30,1,3248.33,completed
O00273,C0299,P038,2024-06-30,1,2356.49,pending
O00274,C1600,P016,2024-06-30,2,3443.18,pending
O00275,C1564,P034,2023-11-03,1,777.43,completed
O00276,C0352,P001,2024-06-30,5,1676.56,completed
O00277,C1886,P031,2024-06-30,1,4268.53,returned
O00278,C1380,P012,2022-05-05,3,1310.59,returned
O00279,C0439,P015,2024-06-22,1,3735.45,completed
O00280,C0254,P008,2023-08-03,2,2738.68,completed
O00281,C1444,P036,2024-06-30,2,1359.92,returned
O00282,C0237,P019,2023-03-18,1,3684.25,returned
